"เป็นไงบ้าง?","🇹🇭 How are you doing?"
"ว่าไง?","🇹🇭 What's up?"
"คุณพูดภาษาอังกฤษได้หรือเปล่า?","🇹🇭 Do you speak English?"
"ห้องน้ำอยู่ที่ไหน [ ค่ะ (f) / ครับ (m) ]?","🇹🇭 Where is the bathroom?"
"ไปไหนมา?","🇹🇭 Where have you been?"
"คิดเงิน [ ค่ะ (f) / ครับ (m) ]","🇹🇭 The bill, please."
"อันนี้ราคาเท่าไหร่ [ ค่ะ (f) / ครับ (m) ]?","🇹🇭 How much is this?"
"[ ฉัน (f) / ผม (m) ] ไม่เข้าใจ","🇹🇭 I don't understand."
"ไปกันเถอะ","🇹🇭 Let's go!"
"อิ่มแล้ว","🇹🇭 I am full."
"นั่นใครน่ะ?","🇹🇭 Who is that?"
"ไปไหนกันดี?","🇹🇭 Where shall we go?"
"แปปนึง","🇹🇭 Just a second. / Hold on."
"โอเคมั้ย?","🇹🇭 Everything alright?"
"มีอะไรให้ช่วยมั้ย?","🇹🇭 Can I help you?"
"ช่วยด้วย!","🇹🇭 Help!"
"ยินดีด้วย!","🇹🇭 Congratulations!"
"ไม่ไหวแล้ว","🇹🇭 I'm tired."
"แม่ง!","🇹🇭 Damn it!"
"สุดยอด!","🇹🇭 Awesome!"